anukalpa	Pum
anukAmIna	Pum
anukAra	Pum
anukrama	Pum
anukroSa	Pum
anugraha	Pum
anucara	Pum
anuja	Pum
anujIvin	Pum
anutarza	Pum
anutarzaRa	Napumsaka
anutApa	Pum
anupadInA	Stri
anupamA	Stri
anuplava	Pum
anubanDa	Pum
anuboDa	Pum
anuBava	Pum
anuBAva	Pum
anumati	Stri
anuyAyin	Pum
anuyoga	Pum
anuroDa	Pum
anulApa	Pum
anuvartana	Napumsaka
anuSaya	Pum
anuzRa	Pum
anuhAra	Pum
anUka	Napumsaka
anUcAna	Pum
anUru	Pum
anfju	Pum
anfju	Napumsaka
anfta	Napumsaka
aneka	Pum
aneka	Napumsaka
anekapa	Pum
anehas	Pum
anokaha	Pum
anta	Pum
anta	Napumsaka
antaka	Pum
antaHpura	Napumsaka
antara	Pum
antara	Pum
antara	Napumsaka
antara	Napumsaka
antarA	Stri
antarA	Stri
antarAya	Pum
antarAla	Napumsaka
antarikza	Napumsaka
antarIpa	Pum
antarIpa	Napumsaka
antarIya	Napumsaka
antardvAra	Napumsaka
antarDA	Stri
antarDi	Pum
antarmanas	Pum
antarmanas	Napumsaka
antarvatnI	Stri
antarvaMSika	Pum
antarvARi	Stri
antarvARi	Pum
antarvARi	Napumsaka
antAvasAyin	Pum
antikA	Stri
antikASraya	Pum
antevAsin	Pum
antra	Napumsaka
anduka	Pum
anDa	Napumsaka
anDa	Pum
anDakaripu	Pum
anDakAra	Pum
anDakAra	Napumsaka
anDatamasa	Napumsaka
anDu	Pum
anna	Napumsaka
anya	Pum
anya	Napumsaka
anyatama	Pum
anyatama	Napumsaka
anyatamA	Stri
anyatara	Pum
anyatara	Napumsaka
anyatarA	Stri
anyA	Stri
anyAdfS	Pum
anvac	Pum
anvac	Napumsaka
anvaya	Pum
anvavAya	Pum
anvAhArya	Napumsaka
anvezaRA	Stri
apakAragir	Stri
apakrama	Pum
apaGana	Pum
apacaya	Pum
apaciti	Stri
apawu	Pum
apawu	Napumsaka
apatya	Napumsaka
apatrapA	Stri
apatrapizRu	Pum
apatrapizRu	Napumsaka
apaTa	Napumsaka
apaTin	Pum
apadeSa	Pum
apaBraMSa	Pum
apayAna	Napumsaka
apara	Pum
apara	Napumsaka
aparA	Stri
aparAjitA	Stri
aparAdDapfzatka	Pum
aparADa	Pum
aparAhRa	Pum
aparRA	Stri
apalApa	Pum
apavarga	Pum
apavarjana	Napumsaka
apavAda	Pum
apavAraRa	Napumsaka
apaSabda	Pum
apazWu	Pum
apazWu	Napumsaka
apasada	Pum
apasarpa	Pum
apaskara	Pum
apahAra	Pum
apANga	Pum
apANgadarSana	Napumsaka
apAna	Napumsaka
apAna	Pum
apAmArga	Pum
apAmpati	Pum
apAsana	Napumsaka
apiDAna	Napumsaka
apUpa	Pum
apogaRqa	Pum
ap	Stri
appati	Pum
appitta	Napumsaka
apraDAna	Napumsaka
apsaras	Stri
abadDa	Napumsaka
abalA	Stri
abja	Pum
abjayoni	Pum
abjinIpati	Pum
abda	Pum
abDi	Pum
abDikaPa	Pum
abrahmaRya	Napumsaka
aBaya	Napumsaka
aBayA	Stri
aBAzaRa	Napumsaka
aBikrama	Pum
aBiKyA	Stri
aBigraha	Pum
aBigrahaRa	Napumsaka
aBiGAtin	Pum
aBicara	Pum
aBijana	Pum
aBiDAna	Napumsaka
aBiDyA	Stri
aBinaya	Pum
aBinavodBid	Pum
aBinirmukta	Pum
aBiniryARa	Napumsaka
aBiprAya	Pum
aBimAna	Pum
aBiyoga	Pum
aBilAva	Pum
aBilAza	Pum
aBivAdana	Napumsaka
aBivyApti	Stri
aBiSasti	Stri
aBiSApa	Pum
aBizaNga	Pum
aBizava	Pum
aBizuta	Napumsaka
aBizeRana	Napumsaka
aBisampAta	Pum
aBisArikA	Stri
aBihAra	Pum
aBIzaNga	Pum
aBIzu	Pum
aByaYjana	Napumsaka
aByantara	Napumsaka
aByamitrIRa	Pum
aByamitrIya	Pum
aByamitrya	Pum
aByavakarzaRa	Napumsaka
aByavaskandana	Napumsaka
aByAKyAna	Napumsaka
aByAgama	Pum
aByAgArika	Pum
aByAdAna	Napumsaka
aByAmarda	Pum
aByAsAdana	Napumsaka
aByutTAna	Napumsaka
aByudita	Pum
aByupagama	Pum
aByupapatti	Stri
aByUza	Pum
aBra	Napumsaka
aBraka	Napumsaka
aBrapuzpa	Pum
aBramAtaNga	Pum
aBramu	Stri
aBramuvallaBa	Pum
aBri	Stri
aBreza	Pum
amatra	Napumsaka
amara	Pum
amarAvatI	Stri
amartya	Pum
amarza	Pum
amala	Napumsaka
amalA	Stri
amAtya	Pum
amAvasyA	Stri
amAvAsyA	Stri
amAMsa	Pum
amitra	Napumsaka
amI	Pum
amUdfS	Pum
amfRAla	Napumsaka
amfta	Napumsaka
amftA	Stri
amftAnDas	Pum
amoGA	Stri
ambara	Napumsaka
ambarIza	Napumsaka
ambazWa	Pum
ambazWakaraRa	Pum
ambazWA	Stri
ambA	Stri
ambAqA	Stri
ambAlA	Stri
ambikA	Stri
ambikA	Stri
ambu	Napumsaka
ambukaRa	Pum
ambuja	Pum
ambuBft	Pum
ambuvetasa	Pum
ambusaraRa	Napumsaka
amBas	Napumsaka
amBoruha	Napumsaka
amla	Pum
amlaloRikA	Stri
amlavetasa	Pum
amlAna	Pum
amlikA	Stri
aya	Pum
ayana	Napumsaka
ayaHpratimA	Stri
ayas	Napumsaka
ayogra	Pum
ayogra	Napumsaka
ara	Napumsaka
araRi	Pum
araRi	Stri
araRya	Napumsaka
araRyAnI	Stri
aratni	Pum
aratni	Stri
aralu	Pum
aravinda	Napumsaka
arAti	Pum
ari	Pum
aritra	Napumsaka
arimeda	Pum
arizwa	Napumsaka
arizwa	Pum
arizwaduzwaDI	Pum
aruRa	Pum
aruRA	Stri
aruz	Napumsaka
aruzkara	Pum
arka	Pum
arkaparRa	Pum
arkabanDu	Pum
arkAhva	Pum
argala	Napumsaka
arGa	Pum
arcA	Stri
arcitADvan	Pum
arciz	Napumsaka
arciz	Stri
arjaka	Pum
arjuna	Napumsaka
arjuna	Pum
arjunI	Stri
arRava	Pum
arRas	Napumsaka
artana	Napumsaka
arti	Stri
arTa	Pum
arTanA	Stri
arTaprayoga	Pum
arTin	Pum
arTin	Napumsaka
arTya	Napumsaka
ardanA	Stri
arDa	Pum
arDa	Napumsaka
arDacandrA	Stri
arDanAva	Napumsaka
arDarAtra	Pum
arDahAra	Pum
arDoruka	Napumsaka
arBaka	Pum
arya	Pum
aryaman	Pum
aryA	Stri
aryARI	Stri
aryI	Stri
arvan	Pum
arvAc	Napumsaka
arvAc	Pum
arSas	Pum
arSas	Napumsaka
arSoGna	Pum
arhaRA	Stri
alaka	Pum
alakA	Stri
alakta	Pum
alakzmI	Stri
alagarda	Pum
alaNkarizRu	Pum
alaNkarizRu	Napumsaka
alaNkartf	Pum
alaNkartf	Napumsaka
alaNkarman	Pum
alaNkarman	Napumsaka
alaNkAra	Pum
alaNkriyA	Stri
alarka	Pum
alasa	Pum
alAta	Napumsaka
alAbU	Stri
alAvu	Stri
ali	Pum
alika	Napumsaka
aliYjara	Pum
alin	Pum
alinda	Pum
alIka	Napumsaka
alpa	Pum
alpa	Napumsaka
alpatanu	Pum
alpamAriza	Pum
alpasaras	Napumsaka
alpIyas	Pum
allA	Stri
avakara	Pum
avakIrRin	Pum
avakeSin	Pum
avakeSin	Napumsaka
avakraya	Pum
avagIta	Napumsaka
avagraha	Pum
avagrAha	Pum
avajYA	Stri
avawa	Pum
avawIwa	Pum
avawu	Pum
avatamasa	Napumsaka
avataMsa	Pum
avatokA	Stri
avadaMSa	Pum
avadAta	Pum
avadAna	Napumsaka
avadAraRa	Napumsaka
avadAha	Napumsaka
avaDAna	Napumsaka
avaDi	Pum
avana	Napumsaka
avanAwa	Pum
avanAya	Pum
avani	Stri
avantisoma	Napumsaka
avaBfTa	Pum
avaBrawa	Pum
avamarda	Pum
avamAnanA	Stri
avayava	Pum
avara	Pum
avara	Napumsaka
avaraja	Pum
avarati	Stri
avaravarRa	Pum
avarA	Stri
avaroDana	Napumsaka
avaroha	Pum
avarRa	Pum
avalakza	Pum
avalagna	Pum
avalagna	Napumsaka
avalepa	Pum
avalguja	Pum
avavAda	Pum
avaSyAya	Pum
avazwamBa	Pum
avasara	Pum
avasAna	Napumsaka
avaskara	Pum
avahAra	Pum
avahitTA	Stri
avahelana	Napumsaka
avAkpuzpI	Stri
avAcI	Stri
avAcya	Napumsaka
avAra	Napumsaka
avAsas	Pum
avAsas	Napumsaka
avi	Stri
avidyA	Stri
avirata	Napumsaka
avilambita	Napumsaka
avI	Stri
avIci	Pum
avIrA	Stri
avekzA	Stri
avyakta	Pum
avyaktarAga	Pum
avyaRqA	Stri
avyaTA	Stri
aMSa	Pum
aSanAyA	Stri
aSani	Pum
aSani	Stri
aSiSvI	Stri
aSIti	Stri
aMSu	Pum
aMSuka	Napumsaka
aMSumatI	Stri
aMSumatPalA	Stri
aMSumAlin	Pum
aSoka	Napumsaka
aSoka	Pum
aSokarohiRI	Stri
aSmagarBa	Pum
aSmaja	Napumsaka
aSman	Pum
aSmanta	Napumsaka
aSmapuzpa	Napumsaka
aSmarI	Stri
aSmasAra	Pum
aSmasAra	Napumsaka
aSrAnta	Napumsaka
aSri	Stri
aSru	Napumsaka
aSlIla	Napumsaka
aSva	Pum
aSvakarRaka	Pum
aSvatTa	Pum
aSvameDIya	Pum
aSvayuj	Stri
aSvA	Stri
aSvAroha	Pum
aSvinI	Stri
aSvinIsuta	Pum
azwan	Pum
azwamUrti	Pum
azwApada	Pum
azwApada	Napumsaka
azwAhna	Pum
azWIvat	Pum
azWIvat	Napumsaka
aMsa	Pum
aMsa	Napumsaka
asatI	Stri
asatIsuta	Pum
asana	Pum
asamIkzyakArin	Pum
asamIkzyakArin	Napumsaka
aMsala	Pum
asi	Pum
asiknI	Stri
asita	Pum
asiDAvaka	Pum
asiDenukA	Stri
asiputrI	Stri
asiheti	Pum
asu	Pum
asuDAraRa	Napumsaka
asura	Pum
asUyA	Stri
asUrkzaRa	Napumsaka
asfj	Napumsaka
asfrgDarA	Stri
asta	Pum
astra	Pum
astra	Napumsaka
astrin	Pum
asTi	Napumsaka
asPuwavAc	Pum
asPuwavAc	Napumsaka
asra	Napumsaka
asra	Pum
asrapa	Pum
asru	Napumsaka
asvapna	Pum
asvADyAya	Pum
ahaNkAra	Pum
ahaNkAravat	Pum
ahaNkAravat	Napumsaka
aMhati	Stri
ahan	Napumsaka
ahamahamikA	Stri
ahampUrvikA	Stri
ahammati	Stri
ahaMyu	Pum
ahaMyu	Napumsaka
aharpati	Pum
aharmuKa	Napumsaka
aMhas	Napumsaka
ahaskara	Pum
ahArya	Pum
ahi	Pum
ahita	Pum
ahituRqika	Pum
ahiBaya	Napumsaka
ahiBuja	Pum
ahirbuDnya	Pum
aheru	Stri
ahorAtra	Pum
ahorAtra	Napumsaka
Akara	Pum
Akarza	Pum
Akalpa	Pum
AkAra	Pum
AkAragupti	Stri
AkAraRA	Stri
AkASa	Pum
Akfti	Stri
Akranda	Pum
AkrIqa	Pum
AkroSa	Pum
AkroSana	Napumsaka
AkzAraRa	Napumsaka
AkzIva	Pum
Akzepa	Pum
